ra,dec,objID,cModelMag_u,cModelMag_g,cModelMag_r,cModelMag_i,cModelMag_z,z,distance
188.49659,64.937189,1237651066280083645,22.07714,19.20137,17.70338,17.20188,16.81002,0.2381432,17.4657589079373
187.68386,64.852455,1237658607147876438,20.16566,18.30428,17.30787,16.91203,16.67132,0.1705025,17.5174489842147
188.31853,65.376352,1237651066816954478,18.63969,19.17344,17.67879,17.21418,16.93519,0.22717,17.8224240610389
188.29554,64.82975,1237651066280083569,19.24593,17.79971,16.91086,16.46142,16.13293,0.09530596,19.3855340198717
188.26071,64.819067,1237651066280083552,20.16266,18.69236,17.31744,16.77562,16.43519,0.2272613,19.6036384029519
187.22943,65.242676,1237651066816757915,21.057,18.54712,17.59553,17.0916,16.80515,0.1170835,19.8163675454873
188.741,65.071813,1237654610142691427,18.43365,17.3948,17.05922,16.77725,16.83433,0.03922907,19.945656544149
188.57256,65.063642,1237654610142625917,19.95683,18.03978,17.23287,16.73102,16.48275,0.09702019,15.8440723142392
187.77565,65.500959,1237658607148138720,18.40245,17.30496,16.86009,16.58222,16.35085,0.05044873,23.3183117215929
187.26827,65.388217,1237658607148073131,18.74887,17.0978,16.41419,15.9689,15.60583,0.05034084,23.6814536949531
188.09689,65.074299,1237654610142560376,19.90353,19.51657,19.3688,19.08927,18.99542,0.5992281,4.41382104648451
187.84515,65.189332,1237651066816823407,19.60848,18.24629,17.27108,16.84012,16.51307,0.1690191,5.06774917191627
187.74611,65.15389,1237658607148007527,19.27432,19.20979,18.93972,18.91623,18.9856,1.375283,5.76630184152281
188.43071,65.219727,1237654876434727154,20.31922,18.65001,17.6816,17.2367,16.81886,0.1791287,13.2825317337224
187.65175,64.938456,1237658607147876521,20.24238,19.63741,18.90531,18.58507,18.31663,0.3122818,13.4045736419118
187.72275,65.320798,1237658607148073113,20.53733,18.24886,17.17546,16.7131,16.32804,0.1273719,13.4429558302422
188.46327,65.042596,1237654610142625815,18.45822,17.26162,16.86135,16.71198,16.70141,-0.0001421433,13.54573795892
187.73054,64.915548,1237651066279952418,19.14616,18.89202,18.92047,18.76803,18.90558,1.755768,13.5775520745306
187.78752,64.904277,1237651066279952575,22.13077,19.90211,18.21885,17.61925,17.28695,0.3119637,13.6627444485456
187.44048,65.039809,1237654610142429354,19.91772,17.90256,17.01863,16.60547,16.21209,0.07962525,13.9875477050297
188.02706,65.226149,1237651066816888940,18.34228,16.6642,15.87437,15.55565,15.38372,0.03900601,6.58737165464919
187.30086,64.995348,1237654610142364393,19.84155,20.77356,18.95493,18.47221,18.11841,0.3641937,18.278757335956
188.67528,65.042219,1237654610142626524,22.23139,20.94991,20.35904,20.12067,19.92188,6.488981,18.6748464051274
188.34065,65.390892,1237654610679431357,19.9887,19.26419,17.62037,17.06118,16.8002,0.2869189,18.8574179365945
187.57276,64.785431,1237658607147811098,20.05017,20.18888,20.30141,19.91263,19.78687,1.886212,22.3564093068019
188.44482,64.807187,1237651066280083606,19.34624,18.10981,17.26887,16.81816,16.46365,0.1331384,22.4459237852032
188.31996,64.777092,1237651066280083584,21.28456,18.95428,17.98857,17.59227,17.38655,0.1330871,22.5161312709759
187.33128,65.387911,1237658607148073138,18.90054,17.43878,16.87588,16.55354,16.3243,0.05035578,22.5323237743301
188.21092,64.758439,1237651066280083676,21.19381,21.0245,20.38254,19.84981,19.74084,0.6095933,22.6124843862721
188.48623,64.831994,1237651066280083514,21.68162,19.07696,17.79814,17.38532,17.06843,0.227568,21.8396962336677
