#    L    TT             EE             TE             PP             TP          
     2    0.10773E+04    0.45418E-01    0.32261E+01    0.10886E+07    0.29617E+05
     3    0.10176E+04    0.70662E-01    0.39163E+01    0.16769E+07    0.35439E+05
     4    0.95868E+03    0.75682E-01    0.39417E+01    0.21985E+07    0.38196E+05
     5    0.91300E+03    0.63780E-01    0.35912E+01    0.26592E+07    0.39317E+05
     6    0.88018E+03    0.44706E-01    0.30795E+01    0.30663E+07    0.39530E+05
     7    0.85793E+03    0.27175E-01    0.25401E+01    0.34276E+07    0.39243E+05
     8    0.84348E+03    0.15420E-01    0.20509E+01    0.37497E+07    0.38626E+05
     9    0.83513E+03    0.94736E-02    0.16479E+01    0.40379E+07    0.37772E+05
    10    0.83147E+03    0.72382E-02    0.13470E+01    0.42963E+07    0.36782E+05
    11    0.83107E+03    0.64918E-02    0.11502E+01    0.45297E+07    0.35777E+05
    12    0.83424E+03    0.59935E-02    0.10506E+01    0.47396E+07    0.34814E+05
    13    0.83927E+03    0.52367E-02    0.10236E+01    0.49288E+07    0.33896E+05
    14    0.84522E+03    0.45873E-02    0.10416E+01    0.51000E+07    0.33013E+05
    15    0.85245E+03    0.42148E-02    0.10885E+01    0.52549E+07    0.32134E+05
    16    0.86144E+03    0.41681E-02    0.11523E+01    0.53950E+07    0.31237E+05
    17    0.87209E+03    0.44308E-02    0.12215E+01    0.55220E+07    0.30349E+05
    18    0.88348E+03    0.47959E-02    0.12881E+01    0.56372E+07    0.29500E+05
    19    0.89641E+03    0.52076E-02    0.13484E+01    0.57413E+07    0.28687E+05
    20    0.90922E+03    0.57109E-02    0.13990E+01    0.58350E+07    0.27900E+05
    21    0.92226E+03    0.63372E-02    0.14453E+01    0.59194E+07    0.27134E+05
    22    0.93582E+03    0.71836E-02    0.14928E+01    0.59956E+07    0.26386E+05
    23    0.94972E+03    0.82651E-02    0.15424E+01    0.60642E+07    0.25663E+05
    24    0.96402E+03    0.95458E-02    0.15939E+01    0.61255E+07    0.24973E+05
    25    0.97867E+03    0.11039E-01    0.16474E+01    0.61803E+07    0.24315E+05
    26    0.99349E+03    0.12726E-01    0.17038E+01    0.62291E+07    0.23689E+05
    27    0.10087E+04    0.14579E-01    0.17598E+01    0.62725E+07    0.23087E+05
    28    0.10242E+04    0.16599E-01    0.18125E+01    0.63107E+07    0.22505E+05
    29    0.10400E+04    0.18794E-01    0.18603E+01    0.63440E+07    0.21945E+05
    30    0.10560E+04    0.21182E-01    0.19004E+01    0.63723E+07    0.21412E+05
    31    0.10721E+04    0.23759E-01    0.19319E+01    0.63963E+07    0.20901E+05
    32    0.10886E+04    0.26508E-01    0.19538E+01    0.64166E+07    0.20407E+05
    33    0.11054E+04    0.29440E-01    0.19638E+01    0.64334E+07    0.19926E+05
    34    0.11224E+04    0.32584E-01    0.19610E+01    0.64468E+07    0.19456E+05
    35    0.11395E+04    0.35964E-01    0.19496E+01    0.64571E+07    0.18995E+05
    36    0.11567E+04    0.39599E-01    0.19324E+01    0.64645E+07    0.18546E+05
    37    0.11740E+04    0.43475E-01    0.19062E+01    0.64692E+07    0.18117E+05
    38    0.11917E+04    0.47579E-01    0.18690E+01    0.64714E+07    0.17717E+05
    39    0.12098E+04    0.51922E-01    0.18217E+01    0.64712E+07    0.17340E+05
    40    0.12280E+04    0.56523E-01    0.17657E+01    0.64688E+07    0.16978E+05
    41    0.12464E+04    0.61405E-01    0.17018E+01    0.64642E+07    0.16622E+05
    42    0.12647E+04    0.66572E-01    0.16283E+01    0.64577E+07    0.16274E+05
    43    0.12833E+04    0.72022E-01    0.15432E+01    0.64492E+07    0.15934E+05
    44    0.13018E+04    0.77740E-01    0.14453E+01    0.64390E+07    0.15603E+05
    45    0.13207E+04    0.83722E-01    0.13334E+01    0.64272E+07    0.15283E+05
    46    0.13398E+04    0.89964E-01    0.12050E+01    0.64140E+07    0.14975E+05
    47    0.13591E+04    0.96471E-01    0.10615E+01    0.63993E+07    0.14676E+05
    48    0.13785E+04    0.10325E+00    0.90832E+00    0.63834E+07    0.14387E+05
    49    0.13980E+04    0.11029E+00    0.74990E+00    0.63662E+07    0.14104E+05
    50    0.14179E+04    0.11757E+00    0.58413E+00    0.63480E+07    0.13826E+05
    51    0.14379E+04    0.12507E+00    0.40712E+00    0.63287E+07    0.13552E+05
    52    0.14584E+04    0.13287E+00    0.21379E+00    0.63084E+07    0.13283E+05
    53    0.14788E+04    0.14111E+00    0.60265E-03    0.62873E+07    0.13021E+05
    54    0.14992E+04    0.14978E+00   -0.22802E+00    0.62653E+07    0.12769E+05
    55    0.15197E+04    0.15886E+00   -0.46753E+00    0.62425E+07    0.12528E+05
    56    0.15405E+04    0.16821E+00   -0.71953E+00    0.62190E+07    0.12300E+05
    57    0.15617E+04    0.17770E+00   -0.98394E+00    0.61948E+07    0.12084E+05
    58    0.15831E+04    0.18736E+00   -0.12615E+01    0.61699E+07    0.11877E+05
    59    0.16047E+04    0.19722E+00   -0.15528E+01    0.61444E+07    0.11679E+05
    60    0.16264E+04    0.20735E+00   -0.18574E+01    0.61183E+07    0.11486E+05
    61    0.16486E+04    0.21782E+00   -0.21742E+01    0.60917E+07    0.11297E+05
    62    0.16707E+04    0.22863E+00   -0.25042E+01    0.60645E+07    0.11111E+05
    63    0.16929E+04    0.23974E+00   -0.28484E+01    0.60369E+07    0.10927E+05
    64    0.17155E+04    0.25116E+00   -0.32079E+01    0.60089E+07    0.10745E+05
    65    0.17382E+04    0.26287E+00   -0.35833E+01    0.59805E+07    0.10564E+05
    66    0.17611E+04    0.27480E+00   -0.39728E+01    0.59519E+07    0.10383E+05
    67    0.17843E+04    0.28694E+00   -0.43735E+01    0.59230E+07    0.10204E+05
    68    0.18078E+04    0.29934E+00   -0.47840E+01    0.58938E+07    0.10028E+05
    69    0.18316E+04    0.31196E+00   -0.52025E+01    0.58644E+07    0.98577E+04
    70    0.18556E+04    0.32483E+00   -0.56308E+01    0.58349E+07    0.96942E+04
    71    0.18798E+04    0.33795E+00   -0.60713E+01    0.58052E+07    0.95391E+04
    72    0.19041E+04    0.35128E+00   -0.65253E+01    0.57753E+07    0.93919E+04
    73    0.19286E+04    0.36480E+00   -0.69934E+01    0.57453E+07    0.92514E+04
    74    0.19533E+04    0.37849E+00   -0.74748E+01    0.57151E+07    0.91165E+04
    75    0.19784E+04    0.39236E+00   -0.79678E+01    0.56848E+07    0.89864E+04
    76    0.20037E+04    0.40642E+00   -0.84720E+01    0.56543E+07    0.88598E+04
    77    0.20293E+04    0.42066E+00   -0.89870E+01    0.56237E+07    0.87361E+04
    78    0.20553E+04    0.43509E+00   -0.95142E+01    0.55931E+07    0.86144E+04
    79    0.20815E+04    0.44967E+00   -0.10050E+02    0.55623E+07    0.84941E+04
    80    0.21080E+04    0.46440E+00   -0.10595E+02    0.55315E+07    0.83744E+04
    81    0.21346E+04    0.47924E+00   -0.11151E+02    0.55007E+07    0.82548E+04
    82    0.21616E+04    0.49419E+00   -0.11716E+02    0.54699E+07    0.81357E+04
    83    0.21887E+04    0.50923E+00   -0.12290E+02    0.54391E+07    0.80177E+04
    84    0.22160E+04    0.52437E+00   -0.12871E+02    0.54083E+07    0.79016E+04
    85    0.22435E+04    0.53957E+00   -0.13460E+02    0.53776E+07    0.77881E+04
    86    0.22712E+04    0.55485E+00   -0.14057E+02    0.53468E+07    0.76776E+04
    87    0.22994E+04    0.57018E+00   -0.14659E+02    0.53162E+07    0.75701E+04
    88    0.23275E+04    0.58557E+00   -0.15269E+02    0.52856E+07    0.74656E+04
    89    0.23560E+04    0.60100E+00   -0.15886E+02    0.52551E+07    0.73639E+04
    90    0.23847E+04    0.61644E+00   -0.16508E+02    0.52247E+07    0.72648E+04
    91    0.24135E+04    0.63188E+00   -0.17135E+02    0.51944E+07    0.71683E+04
    92    0.24426E+04    0.64731E+00   -0.17768E+02    0.51641E+07    0.70742E+04
    93    0.24720E+04    0.66272E+00   -0.18406E+02    0.51340E+07    0.69825E+04
    94    0.25015E+04    0.67807E+00   -0.19048E+02    0.51040E+07    0.68930E+04
    95    0.25313E+04    0.69336E+00   -0.19693E+02    0.50741E+07    0.68058E+04
    96    0.25611E+04    0.70858E+00   -0.20343E+02    0.50443E+07    0.67206E+04
    97    0.25913E+04    0.72370E+00   -0.20995E+02    0.50146E+07    0.66375E+04
    98    0.26218E+04    0.73874E+00   -0.21649E+02    0.49850E+07    0.65563E+04
    99    0.26523E+04    0.75364E+00   -0.22306E+02    0.49555E+07    0.64769E+04
   100    0.26831E+04    0.76840E+00   -0.22962E+02    0.49262E+07    0.63993E+04
   101    0.27141E+04    0.78310E+00   -0.23620E+02    0.48970E+07    0.63234E+04
   102    0.27456E+04    0.79757E+00   -0.24279E+02    0.48680E+07    0.62491E+04
   103    0.27770E+04    0.81190E+00   -0.24939E+02    0.48391E+07    0.61762E+04
   104    0.28087E+04    0.82608E+00   -0.25596E+02    0.48103E+07    0.61048E+04
   105    0.28405E+04    0.84004E+00   -0.26253E+02    0.47817E+07    0.60348E+04
   106    0.28725E+04    0.85385E+00   -0.26909E+02    0.47533E+07    0.59660E+04
   107    0.29045E+04    0.86736E+00   -0.27562E+02    0.47250E+07    0.58983E+04
   108    0.29368E+04    0.88066E+00   -0.28213E+02    0.46968E+07    0.58318E+04
   109    0.29694E+04    0.89366E+00   -0.28861E+02    0.46688E+07    0.57662E+04
   110    0.30020E+04    0.90636E+00   -0.29503E+02    0.46410E+07    0.57016E+04
   111    0.30347E+04    0.91885E+00   -0.30143E+02    0.46134E+07    0.56378E+04
   112    0.30676E+04    0.93104E+00   -0.30778E+02    0.45859E+07    0.55748E+04
   113    0.31008E+04    0.94293E+00   -0.31408E+02    0.45586E+07    0.55127E+04
   114    0.31340E+04    0.95445E+00   -0.32031E+02    0.45315E+07    0.54514E+04
   115    0.31675E+04    0.96575E+00   -0.32648E+02    0.45046E+07    0.53909E+04
   116    0.32010E+04    0.97661E+00   -0.33257E+02    0.44778E+07    0.53313E+04
   117    0.32347E+04    0.98709E+00   -0.33859E+02    0.44512E+07    0.52725E+04
   118    0.32687E+04    0.99735E+00   -0.34453E+02    0.44248E+07    0.52146E+04
   119    0.33026E+04    0.10072E+01   -0.35038E+02    0.43986E+07    0.51575E+04
   120    0.33367E+04    0.10166E+01   -0.35613E+02    0.43725E+07    0.51012E+04
   121    0.33709E+04    0.10257E+01   -0.36178E+02    0.43466E+07    0.50459E+04
   122    0.34050E+04    0.10344E+01   -0.36733E+02    0.43209E+07    0.49914E+04
   123    0.34393E+04    0.10425E+01   -0.37277E+02    0.42954E+07    0.49377E+04
   124    0.34737E+04    0.10503E+01   -0.37808E+02    0.42700E+07    0.48849E+04
   125    0.35080E+04    0.10577E+01   -0.38328E+02    0.42449E+07    0.48330E+04
   126    0.35425E+04    0.10646E+01   -0.38835E+02    0.42199E+07    0.47819E+04
   127    0.35769E+04    0.10711E+01   -0.39330E+02    0.41951E+07    0.47317E+04
   128    0.36114E+04    0.10772E+01   -0.39811E+02    0.41705E+07    0.46824E+04
   129    0.36459E+04    0.10827E+01   -0.40278E+02    0.41460E+07    0.46340E+04
   130    0.36805E+04    0.10877E+01   -0.40729E+02    0.41218E+07    0.45864E+04
   131    0.37150E+04    0.10924E+01   -0.41167E+02    0.40977E+07    0.45397E+04
   132    0.37496E+04    0.10965E+01   -0.41588E+02    0.40738E+07    0.44939E+04
   133    0.37842E+04    0.11001E+01   -0.41995E+02    0.40501E+07    0.44489E+04
   134    0.38187E+04    0.11034E+01   -0.42382E+02    0.40265E+07    0.44047E+04
   135    0.38533E+04    0.11060E+01   -0.42754E+02    0.40032E+07    0.43613E+04
   136    0.38877E+04    0.11082E+01   -0.43107E+02    0.39800E+07    0.43186E+04
   137    0.39221E+04    0.11099E+01   -0.43441E+02    0.39570E+07    0.42766E+04
   138    0.39565E+04    0.11111E+01   -0.43758E+02    0.39341E+07    0.42354E+04
   139    0.39906E+04    0.11119E+01   -0.44054E+02    0.39115E+07    0.41948E+04
   140    0.40248E+04    0.11121E+01   -0.44332E+02    0.38890E+07    0.41548E+04
   141    0.40588E+04    0.11118E+01   -0.44589E+02    0.38667E+07    0.41155E+04
   142    0.40928E+04    0.11110E+01   -0.44826E+02    0.38446E+07    0.40768E+04
   143    0.41268E+04    0.11098E+01   -0.45042E+02    0.38226E+07    0.40386E+04
   144    0.41605E+04    0.11080E+01   -0.45238E+02    0.38008E+07    0.40009E+04
   145    0.41941E+04    0.11059E+01   -0.45411E+02    0.37792E+07    0.39638E+04
   146    0.42278E+04    0.11031E+01   -0.45564E+02    0.37577E+07    0.39271E+04
   147    0.42611E+04    0.11000E+01   -0.45693E+02    0.37364E+07    0.38909E+04
   148    0.42943E+04    0.10964E+01   -0.45800E+02    0.37153E+07    0.38551E+04
   149    0.43274E+04    0.10923E+01   -0.45885E+02    0.36943E+07    0.38197E+04
